[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25866940
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25866da0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25867200
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2586a2c0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2586a6e0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2586ab40
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2586afa0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2586b400
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2586b860
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2586bcc0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2586c120
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25860820
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25860c80
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f258610e0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25861540
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f258619a0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25861e00
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25862260
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f258626c0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2585b020
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25852250
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2585abc0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f258526b0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2585a300
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25852ad0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25852f30
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25853390
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f258537f0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25853c50
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f258540b0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25854510
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2582f9d0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f2582fe30
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25830290
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f258306f0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25830b50
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25830fb0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25831410
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25831870
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25831cd0
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25832130
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f258631b0
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25863610
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25863a70
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25863ed0
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25864330
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25864790
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25864bf0
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25865050
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f258654b0
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25865910
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f2584a370
[ 20:38:04 DEBUG ] - Delete GameObject 0x563f25855c30
